model,sweep_type,input_tokens_requested,output_tokens_requested,run,elapsed_s,energy_uj,cpu_freq_khz
llama-1b,input_sweep,1024,64,5,11.077123441,113351578044,4101208
llama-1b,input_sweep,1536,64,1,.000852041,113393905999,400000
llama-1b,input_sweep,1536,64,1,1.006919252,113411660715,873645
llama-1b,input_sweep,1536,64,1,2.014003770,113438988037,4100000
llama-1b,input_sweep,1536,64,1,3.020893750,113466613150,400000
llama-1b,input_sweep,1536,64,1,4.027750114,113494975687,400000
llama-1b,input_sweep,1536,64,1,5.034366315,113523110197,400000
llama-1b,input_sweep,1536,64,1,6.041688149,113550753254,400000
llama-1b,input_sweep,1536,64,1,7.048780005,113578434702,400000
llama-1b,input_sweep,1536,64,1,8.055636686,113606555479,400000
llama-1b,input_sweep,1536,64,1,9.062609336,113634004872,400000
llama-1b,input_sweep,1536,64,1,10.069517029,113660923932,400000
llama-1b,input_sweep,1536,64,1,11.075920524,113688831819,3991037
llama-1b,input_sweep,1536,64,1,12.082603499,113716483421,400000
llama-1b,input_sweep,1536,64,1,13.089348739,113742211504,4170574
llama-1b,input_sweep,1536,64,1,14.097028012,113764780355,4100000
llama-1b,input_sweep,1536,64,1,15.104082016,113787372888,4100308
llama-1b,input_sweep,1536,64,2,.000826861,113831593050,2034018
llama-1b,input_sweep,1536,64,2,1.007216806,113849346972,400000
llama-1b,input_sweep,1536,64,2,2.014190959,113877025978,4099958
llama-1b,input_sweep,1536,64,2,3.021292180,113905285855,400000
llama-1b,input_sweep,1536,64,2,4.028485079,113933532914,4100000
llama-1b,input_sweep,1536,64,2,5.035129181,113962104984,3998849
llama-1b,input_sweep,1536,64,2,6.042117736,113990432365,3571020
llama-1b,input_sweep,1536,64,2,7.048669954,114018114729,4099958
llama-1b,input_sweep,1536,64,2,8.055994609,114046086520,4100530
llama-1b,input_sweep,1536,64,2,9.062766375,114074012291,400000
llama-1b,input_sweep,1536,64,2,10.069382313,114101925549,2937115
llama-1b,input_sweep,1536,64,2,11.075779879,114129683962,400000
llama-1b,input_sweep,1536,64,2,12.082444550,114157639396,400000
llama-1b,input_sweep,1536,64,2,13.089563350,114182935596,4100000
llama-1b,input_sweep,1536,64,2,14.097425830,114205638052,4100000
llama-1b,input_sweep,1536,64,2,15.105024229,114228427728,3964209
llama-1b,input_sweep,1536,64,3,.000879970,114272709475,400000
llama-1b,input_sweep,1536,64,3,1.006818184,114290505877,400000
llama-1b,input_sweep,1536,64,3,2.014036571,114318106758,4100000
llama-1b,input_sweep,1536,64,3,3.020859860,114346075925,4100000
llama-1b,input_sweep,1536,64,3,4.028113756,114374133837,4100000
llama-1b,input_sweep,1536,64,3,5.035023700,114402046729,4100000
llama-1b,input_sweep,1536,64,3,6.042223739,114429554959,4100000
llama-1b,input_sweep,1536,64,3,7.049258247,114456613301,4102344
llama-1b,input_sweep,1536,64,3,8.056110354,114484414316,400000
llama-1b,input_sweep,1536,64,3,9.062808102,114512098877,400000
llama-1b,input_sweep,1536,64,3,10.069662889,114539551077,400000
llama-1b,input_sweep,1536,64,3,11.076657208,114566958599,400000
llama-1b,input_sweep,1536,64,3,12.083475042,114594495089,400000
llama-1b,input_sweep,1536,64,3,13.090156173,114620298246,4108971
llama-1b,input_sweep,1536,64,3,14.097443187,114642115084,4100000
llama-1b,input_sweep,1536,64,3,15.104940549,114664052284,4099132
llama-1b,input_sweep,1536,64,3,16.112233575,114686007001,400000
llama-1b,input_sweep,1536,64,4,.000847692,114716258022,1346199
llama-1b,input_sweep,1536,64,4,1.007340256,114734124187,400000
llama-1b,input_sweep,1536,64,4,2.014202416,114761936860,4099932
llama-1b,input_sweep,1536,64,4,3.021610727,114789673850,4099958
llama-1b,input_sweep,1536,64,4,4.028382643,114817774608,4099958
llama-1b,input_sweep,1536,64,4,5.035279178,114845008791,4100000
llama-1b,input_sweep,1536,64,4,6.042028577,114872947196,400000
llama-1b,input_sweep,1536,64,4,7.048930554,114900672162,400000
llama-1b,input_sweep,1536,64,4,8.056193055,114928663118,400000
llama-1b,input_sweep,1536,64,4,9.063273061,114956863607,400000
llama-1b,input_sweep,1536,64,4,10.070422632,114984421032,400000
llama-1b,input_sweep,1536,64,4,11.077690689,115011981142,4100000
llama-1b,input_sweep,1536,64,4,12.084462807,115039474297,400000
llama-1b,input_sweep,1536,64,4,13.091786177,115065581652,4099428
llama-1b,input_sweep,1536,64,4,14.098867304,115087567923,4100000
llama-1b,input_sweep,1536,64,4,15.106328809,115109855159,4099958
llama-1b,input_sweep,1536,64,4,16.114252192,115132157104,4100000
llama-1b,input_sweep,1536,64,5,.000898355,115162845197,400000
llama-1b,input_sweep,1536,64,5,1.007111865,115180931820,400000
llama-1b,input_sweep,1536,64,5,2.014591611,115208638597,400000
llama-1b,input_sweep,1536,64,5,3.021685383,115236237770,400000
llama-1b,input_sweep,1536,64,5,4.028711744,115263872099,400000
llama-1b,input_sweep,1536,64,5,5.035589580,115291761431,400000
llama-1b,input_sweep,1536,64,5,6.042466433,115319567268,400000
llama-1b,input_sweep,1536,64,5,7.049401160,115347040343,400000
llama-1b,input_sweep,1536,64,5,8.056680151,115375625230,400000
llama-1b,input_sweep,1536,64,5,9.063655911,115403436011,400000
llama-1b,input_sweep,1536,64,5,10.070651653,115431027982,4100000
llama-1b,input_sweep,1536,64,5,11.077546114,115458716448,4099958
llama-1b,input_sweep,1536,64,5,12.084481688,115486200753,400000
llama-1b,input_sweep,1536,64,5,13.091590627,115512332034,4100000
llama-1b,input_sweep,1536,64,5,14.099385201,115535027837,4415268
llama-1b,input_sweep,1536,64,5,15.106971387,115557948433,4100000
llama-1b,input_sweep,2048,64,1,.000879917,115608876159,400000
llama-1b,input_sweep,2048,64,1,1.006975571,115626576492,400000
llama-1b,input_sweep,2048,64,1,2.013895253,115653850226,4100000
llama-1b,input_sweep,2048,64,1,3.021170182,115682206843,4100041
llama-1b,input_sweep,2048,64,1,4.027975885,115710149215,4099958
llama-1b,input_sweep,2048,64,1,5.035038533,115737732641,4100000
llama-1b,input_sweep,2048,64,1,6.041672085,115765133938,4100041
llama-1b,input_sweep,2048,64,1,7.048799886,115792865923,4100000
llama-1b,input_sweep,2048,64,1,8.056212693,115820904486,400000
llama-1b,input_sweep,2048,64,1,9.063838738,115837477197,400000
llama-1b,input_sweep,2048,64,1,10.073897360,115851918506,400000
llama-1b,input_sweep,2048,64,1,11.083883016,115866497021,400000
llama-1b,input_sweep,2048,64,1,12.094090027,115881062169,400000
llama-1b,input_sweep,2048,64,1,13.103868205,115895712888,400000
llama-1b,input_sweep,2048,64,1,14.113874220,115910541830,3300000
llama-1b,input_sweep,2048,64,1,15.124143800,115925276961,400000
llama-1b,input_sweep,2048,64,1,16.134298764,115940063361,400000
llama-1b,input_sweep,2048,64,1,17.144352417,115954893706,400000
llama-1b,input_sweep,2048,64,1,18.154273684,115969685416,400000
llama-1b,input_sweep,2048,64,1,19.164025069,115984729994,400000
llama-1b,input_sweep,2048,64,1,20.173521442,115999464637,400000
llama-1b,input_sweep,2048,64,1,21.183393541,116014537352,3500035
llama-1b,input_sweep,2048,64,1,22.193317183,116029514242,3500000
llama-1b,input_sweep,2048,64,1,23.203140410,116044466109,3463330
llama-1b,input_sweep,2048,64,2,.000894272,116079328812,400000
llama-1b,input_sweep,2048,64,2,1.007603853,116097126435,400000
llama-1b,input_sweep,2048,64,2,2.014486201,116124898520,4100041
llama-1b,input_sweep,2048,64,2,3.020867895,116152755687,4100041
llama-1b,input_sweep,2048,64,2,4.027843002,116180644288,400000
llama-1b,input_sweep,2048,64,2,5.034870744,116208993825,400000
llama-1b,input_sweep,2048,64,2,6.042108969,116236659281,400000
llama-1b,input_sweep,2048,64,2,7.049254499,116264672637,400000
llama-1b,input_sweep,2048,64,2,8.056715660,116292403645,400000
llama-1b,input_sweep,2048,64,2,9.063482514,116319432018,400000
llama-1b,input_sweep,2048,64,2,10.070755326,116346527469,400000
llama-1b,input_sweep,2048,64,2,11.078023156,116374036737,400000
llama-1b,input_sweep,2048,64,2,12.085212090,116401929000,400000
llama-1b,input_sweep,2048,64,2,13.091835399,116429774143,400000
llama-1b,input_sweep,2048,64,2,14.098795476,116457082057,400000
llama-1b,input_sweep,2048,64,2,15.105564752,116484779556,4104183
llama-1b,input_sweep,2048,64,2,16.112750423,116512045539,400000
llama-1b,input_sweep,2048,64,2,17.119845183,116538707031,4100000
llama-1b,input_sweep,2048,64,2,18.127026804,116561557009,3175299
llama-1b,input_sweep,2048,64,2,19.134351274,116584522099,4099958
llama-1b,input_sweep,2048,64,2,20.142031451,116604977308,3800000
llama-1b,input_sweep,2048,64,3,.000889555,116639162340,400000
llama-1b,input_sweep,2048,64,3,1.007668558,116656795351,400000
llama-1b,input_sweep,2048,64,3,2.014553956,116684492546,4099958
llama-1b,input_sweep,2048,64,3,3.021224708,116712885052,4100000
llama-1b,input_sweep,2048,64,3,4.028632025,116740758943,4100000
llama-1b,input_sweep,2048,64,3,5.036002362,116768699606,3821961
llama-1b,input_sweep,2048,64,3,6.043186543,116796287243,4078071
