model,strategy,run,elapsed_s,energy_uj,cpu_freq_khz
llama-1b,top_p,5,10.092571059,28627595292,2899981
llama-1b,top_p,5,11.103280892,28645560273,2900000
llama-1b,top_p,5,12.113368297,28663518601,2899881
llama-1b,top_p,5,13.123311518,28681536560,2900022
llama-1b,top_p,5,14.133170481,28699583877,2899953
llama-1b,top_p,5,15.143264838,28717166229,2898395
llama-1b,top_p,5,16.153333931,28734503893,2900046
llama-1b,top_p,5,17.163159723,28751711612,2800010
llama-1b,top_p,5,18.173706457,28768673666,2699976
llama-1b,top_k,1,.000815714,28800549317,4148003
llama-1b,top_k,1,1.010159760,28822077582,400000
llama-1b,top_k,1,2.016606076,28865928483,3699974
llama-1b,top_k,1,3.023953063,28913459367,3554925
llama-1b,top_k,1,4.034551351,28958668846,2900005
llama-1b,top_k,1,5.044822106,28974139815,2600207
llama-1b,top_k,1,6.063476525,28988961066,2597137
llama-1b,top_k,1,7.074576846,29003637969,2600011
llama-1b,top_k,1,8.085687162,29018362236,2599998
llama-1b,top_k,1,9.096228266,29033051773,2600036
llama-1b,top_k,1,10.106758479,29047906227,2599968
llama-1b,top_k,1,11.117603596,29062860291,2600000
llama-1b,top_k,1,12.127998026,29077625268,2599965
llama-1b,top_k,1,13.138598514,29092557602,2600027
llama-1b,top_k,1,14.149081472,29107496834,2600057
llama-1b,top_k,1,15.159613171,29122439362,2599983
llama-1b,top_k,1,16.170193590,29137455437,2600020
llama-1b,top_k,1,17.181056881,29152467605,2600246
llama-1b,top_k,1,18.192362716,29167495094,2599582
llama-1b,top_k,2,.000928669,29198077230,4142886
llama-1b,top_k,2,1.010459117,29220355127,3958345
llama-1b,top_k,2,2.016497990,29263954869,3700004
llama-1b,top_k,2,3.023976529,29311958713,3471281
llama-1b,top_k,2,4.032766381,29356561077,2799987
llama-1b,top_k,2,5.044725336,29371609745,2600014
llama-1b,top_k,2,6.055899508,29386305630,2599978
llama-1b,top_k,2,7.066798611,29401028676,2600014
llama-1b,top_k,2,8.077437814,29415764783,2600043
llama-1b,top_k,2,9.088586523,29430442113,2599577
llama-1b,top_k,2,10.099532124,29445268064,2601568
llama-1b,top_k,2,11.110003357,29460127889,2599995
llama-1b,top_k,2,12.120789686,29475162763,2599871
llama-1b,top_k,2,13.131511360,29489947576,2600002
llama-1b,top_k,2,14.142164255,29504879179,2600005
llama-1b,top_k,2,15.153003313,29519919118,2599969
llama-1b,top_k,2,16.163817872,29534878492,2599982
llama-1b,top_k,2,17.174627159,29549936009,2603902
llama-1b,top_k,2,18.185368653,29564939572,2600067
llama-1b,top_k,3,.000853379,29595699625,4479279
llama-1b,top_k,3,1.006422838,29617594894,3964952
llama-1b,top_k,3,2.012658730,29661267572,3700077
llama-1b,top_k,3,3.020176785,29709591789,3767927
llama-1b,top_k,3,4.027877089,29754114319,2700006
llama-1b,top_k,3,5.039186099,29769076378,2500314
llama-1b,top_k,3,6.050160036,29783663560,2599982
llama-1b,top_k,3,7.060906843,29798446542,2599970
llama-1b,top_k,3,8.072004393,29813036410,2599989
llama-1b,top_k,3,9.083228895,29827694026,2599995
llama-1b,top_k,3,10.093978992,29845136731,2800015
llama-1b,top_k,3,11.104158582,29863112454,2900013
llama-1b,top_k,3,12.113846025,29881041058,2899997
llama-1b,top_k,3,13.123647274,29899060726,2900002
llama-1b,top_k,3,14.133715881,29917078014,2899972
llama-1b,top_k,3,15.143722567,29935125209,2799986
llama-1b,top_k,3,16.154090930,29952336407,2799993
llama-1b,top_k,3,17.164422072,29969548033,2799958
llama-1b,top_k,3,18.174689956,29986959488,2800034
llama-1b,top_k,4,.000804103,30016534729,400000
llama-1b,top_k,4,1.006490949,30038270208,3972910
llama-1b,top_k,4,2.012379121,30082024430,3699984
llama-1b,top_k,4,3.019713885,30129693680,3884295
llama-1b,top_k,4,4.028216212,30175680074,3300031
llama-1b,top_k,4,5.038685924,30192108254,2599971
llama-1b,top_k,4,6.049482883,30206824647,2600011
llama-1b,top_k,4,7.060422508,30221526453,2600015
llama-1b,top_k,4,8.071243376,30236236376,2600019
llama-1b,top_k,4,9.081890078,30250944102,2599993
llama-1b,top_k,4,10.092790020,30265667881,2600024
llama-1b,top_k,4,11.103285548,30280571590,2599979
llama-1b,top_k,4,12.113854636,30295643146,2600030
llama-1b,top_k,4,13.124643179,30310460246,2599990
llama-1b,top_k,4,14.135319533,30325396243,2600018
llama-1b,top_k,4,15.146465946,30340378261,2600028
llama-1b,top_k,4,16.157645568,30355351428,2599978
llama-1b,top_k,4,17.168957888,30370359690,2600020
llama-1b,top_k,4,18.179553369,30385403414,2602945
llama-1b,top_k,5,.000841559,30415548356,4199665
llama-1b,top_k,5,1.006521921,30436509362,4139888
llama-1b,top_k,5,2.012540099,30472031244,3700005
llama-1b,top_k,5,3.020300797,30520293327,3700023
llama-1b,top_k,5,4.027743075,30567181452,3555680
llama-1b,top_k,5,5.036060575,30588596314,2500031
llama-1b,top_k,5,6.047003872,30603258203,2600052
llama-1b,top_k,5,7.057997424,30617947618,2599884
llama-1b,top_k,5,8.069076325,30632689890,2600022
llama-1b,top_k,5,9.079809819,30647391391,2599967
llama-1b,top_k,5,10.090532474,30662072505,2600011
llama-1b,top_k,5,11.100960120,30676928607,2599964
llama-1b,top_k,5,12.111603464,30691868633,2599993
llama-1b,top_k,5,13.122589573,30706781131,2600035
llama-1b,top_k,5,14.133841563,30721805202,2600019
llama-1b,top_k,5,15.145012751,30736782275,2699901
llama-1b,top_k,5,16.155802833,30751719920,2599974
llama-1b,top_k,5,17.167057747,30766841952,2599988
llama-1b,top_k,5,18.177998881,30781693110,2600017
