sweep_type,input_tokens_requested,output_tokens_requested,run,elapsed_s,energy_uj,cpu_freq_khz
output_sweep,512,256,3,2.014186542,105570127750,400000
output_sweep,512,256,3,3.021722621,105589890333,4100000
output_sweep,512,256,3,4.028538446,105619425963,4100465
output_sweep,512,256,3,5.035737281,105648971420,4099655
output_sweep,512,256,3,6.043222103,105678154145,4100335
output_sweep,512,256,3,7.049690281,105706249410,912023
output_sweep,512,256,3,8.057247404,105722871560,3500000
output_sweep,512,256,3,9.066732808,105737440432,3109652
output_sweep,512,256,3,10.077150921,105752003566,399642
output_sweep,512,256,3,11.087120302,105766537891,3499961
output_sweep,512,256,3,12.097505955,105781361950,3500039
output_sweep,512,256,3,13.107302706,105795985204,1012378
output_sweep,512,256,3,14.116836733,105811059384,3400000
output_sweep,512,256,3,15.126912760,105825794820,3400079
output_sweep,512,256,3,16.136792439,105840827923,3400000
output_sweep,512,256,3,17.146545049,105855483403,3401034
output_sweep,512,256,3,18.156948803,105870739590,3398431
output_sweep,512,256,3,19.167946500,105885417958,1239900
output_sweep,512,512,1,.000878657,105933014577,723755
output_sweep,512,512,1,1.006972848,105952705933,4700000
output_sweep,512,512,1,2.013777937,105971691114,1553976
output_sweep,512,512,1,3.021319390,105991166161,4100000
output_sweep,512,512,1,4.027984713,106020037731,400000
output_sweep,512,512,1,5.034484556,106049734798,4100000
output_sweep,512,512,1,6.041245315,106079378216,4100000
output_sweep,512,512,1,7.048360158,106107501801,4100000
output_sweep,512,512,1,8.056316699,106130865084,3400000
output_sweep,512,512,1,9.065861359,106145381404,3400000
output_sweep,512,512,1,10.075616333,106159722004,3400000
output_sweep,512,512,1,11.085080251,106174310895,3500000
output_sweep,512,512,1,12.095196007,106189090032,3400036
output_sweep,512,512,1,13.104926617,106203797514,3317458
output_sweep,512,512,1,14.114515000,106218612662,3400000
output_sweep,512,512,1,15.124591713,106233446547,3400000
output_sweep,512,512,1,16.134423403,106248215308,3500000
output_sweep,512,512,1,17.143597911,106262923339,3356852
output_sweep,512,512,1,18.152164317,106278047812,400000
output_sweep,512,512,1,19.161370251,106292858138,3495244
output_sweep,512,512,1,20.171317772,106308010260,3500133
output_sweep,512,512,1,21.180436584,106322960234,3400184
output_sweep,512,512,1,22.190284800,106338074270,3398441
output_sweep,512,512,1,23.199533717,106352855726,3502645
output_sweep,512,512,1,24.208828105,106367899206,3500000
output_sweep,512,512,2,.000860032,106418863248,1002981
output_sweep,512,512,2,1.006949296,106438253518,4700000
output_sweep,512,512,2,2.014005888,106457365529,400000
output_sweep,512,512,2,3.021421375,106477300354,4099958
output_sweep,512,512,2,4.027914668,106506245531,400000
output_sweep,512,512,2,5.034953763,106535424351,4100000
output_sweep,512,512,2,6.041716022,106565409259,4100000
output_sweep,512,512,2,7.048270020,106593841254,400000
output_sweep,512,512,2,8.056351939,106613635759,3300675
output_sweep,512,512,2,9.066417095,106627900188,3242207
output_sweep,512,512,2,10.075419403,106642329228,3454225
output_sweep,512,512,2,11.084659012,106657093656,3400000
output_sweep,512,512,2,12.094475851,106671766836,400000
output_sweep,512,512,2,13.104037392,106686478529,3399277
output_sweep,512,512,2,14.114112185,106701339697,3254275
output_sweep,512,512,2,15.124065649,106716153807,3401191
output_sweep,512,512,2,16.133769823,106731032004,3498642
output_sweep,512,512,2,17.143551924,106745996504,3229295
output_sweep,512,512,2,18.153732573,106760910834,3399040
output_sweep,512,512,2,19.163813869,106775745147,3500000
output_sweep,512,512,2,20.173081454,106790803824,3499910
output_sweep,512,512,2,21.183059978,106805740248,3400000
output_sweep,512,512,2,22.192758981,106820646826,3600000
output_sweep,512,512,2,23.202098386,106835612120,3500000
output_sweep,512,512,2,24.211753468,106850846029,3499957
output_sweep,512,512,2,25.221073929,106865657209,3600000
output_sweep,512,512,2,26.230372004,106880764348,3600000
output_sweep,512,512,2,27.239799833,106895902737,3600000
output_sweep,512,512,3,.000845104,106942066681,920421
output_sweep,512,512,3,1.006808720,106961458966,4700000
output_sweep,512,512,3,2.014322988,106979998408,4609137
output_sweep,512,512,3,3.022375979,106999918279,4100041
output_sweep,512,512,3,4.029588513,107029271048,4100000
output_sweep,512,512,3,5.036826438,107058875769,4103660
output_sweep,512,512,3,6.043745691,107089990131,4100000
output_sweep,512,512,3,7.050814464,107117849801,4100000
output_sweep,512,512,3,8.058597371,107139610914,3400000
output_sweep,512,512,3,9.067946799,107154070411,3399965
output_sweep,512,512,3,10.077574498,107168527283,3400000
output_sweep,512,512,3,11.087216135,107183102502,3500045
output_sweep,512,512,3,12.096572738,107197662157,3493992
output_sweep,512,512,3,13.106126979,107212261973,3556090
output_sweep,512,512,3,14.115156417,107227288058,3499964
output_sweep,512,512,3,15.124796365,107242473383,3200000
output_sweep,512,512,3,16.135453336,107256961932,928011
output_sweep,512,512,3,17.145284701,107271892070,3500000
output_sweep,512,512,3,18.155463749,107286855960,3506317
output_sweep,512,512,3,19.164647933,107301590602,3600000
output_sweep,512,512,3,20.174054728,107316736987,782216
output_sweep,512,512,3,21.183826242,107331811838,3468802
output_sweep,512,512,3,22.194405775,107346790193,3500497
output_sweep,512,512,3,23.203604369,107361733576,3498846
output_sweep,512,512,3,24.213342658,107376738847,3600000
output_sweep,512,512,3,25.222972076,107391782144,3600043
output_sweep,512,512,3,26.232796444,107406907532,3500000
output_sweep,512,512,3,27.242092542,107422008568,3500977
output_sweep,512,512,3,28.251526512,107437067611,3500000
output_sweep,512,512,3,29.261217890,107452111884,3500000
